episode,reward,avg reward,tiles,avg tiles,completed,avg completed,epsilon
120,-48.761728129403956,-48.84237366533853,13,12.04,,,0.8174954999999999
121,-61.09408025349279,-49.22693197297489,5,11.99,,,0.8168495
122,-44.04577275283079,-49.31484175072828,15,12.02,,,0.8162399166666667
123,-31.782588332269224,-49.10893021100219,7,11.99,,,0.8156936666666667
124,-41.21994641155963,-49.169785527659066,15,12.03,,,0.8141103333333333
125,-33.75077043201305,-49.18872161331521,6,11.98,,,0.8133788333333334
126,-43.043622361372336,-49.09436336122435,7,11.8,,,0.8126251666666666
127,-63.08751669103501,-49.557652683422084,9,11.77,,,0.8114028333333333
128,-39.96427244020306,-49.26740586034878,10,11.77,,,0.8100981666666667
129,-41.99468793803101,-49.48471197988216,6,11.72,,,0.8093888333333333
130,-38.82189668642208,-49.46600342493517,13,11.73,,,0.8090262500000001
131,-18.09635560627683,-49.25247567742779,12,11.74,,,0.8074429166666667
132,-41.471382661888896,-48.91152514385979,22,11.87,,,0.8063947499999999
133,-71.36862576993425,-49.054220753682095,14,11.89,,,0.8048114166666667
134,-60.51755536623285,-49.009628773871846,7,11.85,,,0.8038740833333333
135,-57.374409446644776,-49.40144271719476,11,11.84,,,0.80229075
136,-31.95607237600554,-49.58809059143424,6,11.75,,,0.8016320833333334
137,-56.36877725362585,-49.60209957879319,6,11.69,,,0.8008958333333334
138,-36.63004086113405,-49.596721709888236,4,11.62,,,0.8005300833333333
139,-51.335033602990116,-49.56630962176726,8,11.56,,,0.7995753333333333
140,-35.13411955706605,-49.38751748588294,9,11.5,,,0.7991019166666666
141,-67.93966678079987,-49.62245847753833,10,11.47,,,0.7978859166666666
142,-83.04362680613545,-50.086359242210335,12,11.45,,,0.7965369166666667
143,-43.8274554622417,-50.37353689009816,13,11.44,,,0.7949535833333333
144,-44.71292287451965,-50.16782122452843,18,11.51,,,0.7933702499999999
145,-53.09201228486098,-50.00205192980686,8,11.48,,,0.7922365833333334
146,-46.38989805282083,-50.06920348789268,30,11.63,,,0.79065325
147,-49.500000000000064,-50.155724166176945,2,11.54,,,0.7902415833333334
148,-30.458907057136393,-50.19262015300397,11,11.52,,,0.78865825
149,-59.11271565136326,-50.439763380871334,15,11.57,,,0.7870749166666666
150,-52.944014723238425,-50.48696394157596,11,11.55,,,0.7854915833333334
151,-51.70056326700279,-50.395930152338096,10,11.52,,,0.784464
152,-65.40598239267848,-50.684968289502756,15,11.54,,,0.7828806666666667
153,-39.880397545620845,-50.755574826450285,20,11.62,,,0.7815538333333334
154,-74.25370731603482,-50.81581017238104,8,11.59,,,0.7801145833333334
155,-39.99518619034633,-50.65802323063907,14,11.56,,,0.77853125
156,-40.67930696551582,-50.405690701944884,6,11.5,,,0.77782825
157,-39.68739023724393,-50.1618199446233,5,11.41,,,0.7774324166666666
158,-41.902601445364894,-49.98618364002959,12,11.44,,,0.7770745833333333
159,-49.51963244106168,-50.06897264886185,26,11.54,,,0.7755609166666666
160,-61.39700603907989,-50.5757527804004,15,11.52,,,0.7739775833333333
161,-72.0662762351511,-50.95245568286161,17,11.57,,,0.7723942500000001
162,-19.24023828408947,-50.74027303653053,11,11.53,,,0.7708109166666667
163,-95.33108217422735,-51.02177714161823,14,11.55,,,0.76924025
