episode,reward,avg reward,tiles,avg tiles,epsilon
62,-62.328767123288415,-56.30767602802251,10,11.571428571428571,0.850375
63,-45.76271186440756,-56.14291096296603,15,11.625,0.8480000000000001
64,-56.95364238410685,-56.1553837540605,12,11.63076923076923,0.8456250000000001
65,-59.706959706960625,-56.209195510922626,10,11.606060606060606,0.84325
66,-56.521739130435634,-56.21386034106461,12,11.611940298507463,0.840875
67,-45.73643410852783,-56.0597805435273,13,11.632352941176471,0.8385
68,-53.30739299610979,-56.01989086892704,11,11.623188405797102,0.836125
69,-69.49152542372914,-56.212342791138504,8,11.571428571428571,0.83375
70,-66.21621621621698,-56.353242416843834,9,11.535211267605634,0.831375
71,-69.38775510204131,-56.534277315249355,8,11.48611111111111,0.829
72,-53.23741007194331,-56.48911475027256,12,11.493150684931507,0.826625
73,-56.08108108108185,-56.48360078176999,12,11.5,0.82425
74,-61.93771626297661,-56.5563223215194,10,11.48,0.821875
75,-62.264150943397155,-56.631425329702004,11,11.473684210526315,0.8195
76,-51.127819548872964,-56.559949929950974,12,11.480519480519481,0.817125
77,-51.45631067961244,-56.49451865751074,14,11.512820512820513,0.8147500000000001
78,-61.83206106870283,-56.562082485500504,9,11.481012658227849,0.8123750000000001
79,-55.32646048110044,-56.54663721044551,12,11.4875,0.81
80,-67.42671009772047,-56.68095909794273,9,11.45679012345679,0.807625
81,-45.762711864407414,-56.547809741436204,15,11.5,0.80525
82,-67.74193548387154,-56.68267872628482,8,11.457831325301205,0.802875
83,-52.21843003413049,-56.62953290852108,13,11.476190476190476,0.8005
84,-54.22535211267685,-56.60124842856997,12,11.48235294117647,0.798125
85,-63.33333333333416,-56.679528485602106,10,11.465116279069768,0.79575
86,-66.2921348314615,-56.790018213715435,11,11.459770114942529,0.793375
87,-61.65191740413077,-56.84526706815199,12,11.465909090909092,0.791
88,-55.55555555555635,-56.83077592756103,13,11.48314606741573,0.788625
89,-59.044368600683505,-56.85537140170683,11,11.477777777777778,0.78625
90,-47.712418300654285,-56.75489938960736,15,11.516483516483516,0.783875
91,-69.59459459459502,-56.894461294009396,8,11.478260869565217,0.7815000000000001
92,-41.17647058823594,-56.72545064125915,16,11.526881720430108,0.7791250000000001
93,-49.832775919733386,-56.65212431443441,14,11.553191489361701,0.77675
94,-57.095709570957894,-56.656793632924135,12,11.557894736842105,0.774375
95,-62.58503401360636,-56.71854613688956,10,11.541666666666666,0.772
96,-52.21843003413055,-56.67215318737658,13,11.556701030927835,0.769625
97,-74.21203438395423,-56.85113156693349,8,11.520408163265307,0.76725
98,-50.76923076923161,-56.789698225542566,15,11.555555555555555,0.764875
99,-30.402930402930618,-56.525830547316446,18,11.62,0.7625000000000001
100,-70.87378640776721,-56.667781407784,8,11.59,0.760125
101,-64.07185628742607,-56.75130439870253,11,11.59,0.75775
102,-67.74193548387157,-56.89467357432977,8,11.55,0.755375
103,-74.19354838709691,-57.059144269468334,7,11.51,0.753
104,-29.57746478873308,-56.79287512173521,19,11.59,0.7506250000000001
105,-50.877192982457146,-56.6695400281484,13,11.62,0.7482500000000001
106,-60.78431372549096,-56.65713000084634,11,11.62,0.7458750000000001
107,-44.44444444444532,-56.50157444529079,14,11.64,0.7435
108,-52.7027027027035,-56.48474182319501,13,11.65,0.741125
109,-67.50902527075834,-56.665247238357466,8,11.6,0.73875
110,-32.659932659932906,-56.528245032389734,19,11.66,0.736375
111,-63.636363636364486,-56.651500054521165,9,11.63,0.734
112,-71.92982456140376,-56.85189795649258,7,11.57,0.731625
113,-63.414634146342486,-56.90539913666567,11,11.56,0.72925
114,-65.6250000000005,-56.998012773029316,10,11.55,0.726875
115,-51.36778115501567,-56.96465225705334,15,11.58,0.7245
116,-65.87030716723594,-57.04631605380122,9,11.54,0.722125
117,-67.97153024911101,-57.15924435268221,8,11.51,0.7197500000000001
118,-70.77922077922126,-57.314797754504255,8,11.48,0.7173750000000001
119,-73.2441471571907,-57.50987267803345,7,11.43,0.7150000000000001
120,-74.93036211699182,-57.762773421505514,8,11.38,0.7126250000000001
121,-48.328267477204584,-57.63949871922837,16,11.43,0.71025
122,-57.295373665481186,-57.720264955883174,11,11.42,0.707875
123,-52.861952861953775,-57.7050248353799,13,11.43,0.7055
124,-55.88235294117731,-57.81940392034721,11,11.42,0.703125
125,-77.12418300653553,-57.969194646311614,6,11.37,0.70075
126,-46.48829431438187,-57.78190367641196,15,11.41,0.698375
127,-66.55518394648895,-57.84349511983723,9,11.39,0.6960000000000001
128,-59.45945945946038,-57.85475638109849,11,11.39,0.693625
129,-74.68354430379766,-57.99727527737387,7,11.36,0.69125
130,-20.318725099602258,-57.65673629262844,19,11.44,0.688875
131,-62.406015037594535,-57.72448244983032,9,11.41,0.6865000000000001
132,-66.99669966996746,-57.75510518423491,9,11.4,0.6841250000000001
133,-61.26760563380361,-57.739402862194545,10,11.4,0.6817500000000001
134,-77.34627831715201,-58.0034316831019,6,11.34,0.6793750000000001
135,-55.17241379310418,-57.97723374311086,12,11.34,0.677
136,-59.70695970696062,-57.978343744220844,10,11.33,0.674625
137,-81.70731707317034,-58.234977354512985,5,11.27,0.67225
138,-64.02877697841812,-58.36307000234595,9,11.23,0.669875
139,-70.69597069597093,-58.53207591392611,7,11.17,0.6675
140,-70.3703703703706,-58.758427701253495,7,11.1,0.665125
141,-86.57718120805303,-59.1003899895245,3,11.01,0.6627500000000001
142,-59.50155763239928,-59.07341243870073,12,11.03,0.660375
143,-59.04436860068351,-59.06240684934524,11,11.04,0.658
144,-71.32616487455223,-59.21337893580118,7,10.99,0.6556250000000001
145,-51.923076923077616,-59.00564724769408,14,11.06,0.6532500000000001
146,-53.90070921985916,-58.98261054427222,12,11.07,0.6508750000000001
147,-74.1100323624596,-59.17998463215535,7,11.03,0.6485000000000001
148,-66.36085626911371,-59.24731990292102,10,11.01,0.6461250000000001
149,-49.15254237288207,-59.10551199331648,14,11.05,0.64375
150,-47.040498442367955,-58.9565398151104,16,11.11,0.641375
151,-43.78698224852128,-58.844236627214975,18,11.17,0.639
152,-62.025316455697116,-58.89638347947958,11,11.16,0.636625
153,-66.16541353383522,-58.97909024639688,8,11.13,0.63425
154,-55.83596214511117,-58.96954863328008,13,11.13,0.631875
155,-75.26501766784445,-59.051146178379575,6,11.1,0.6295000000000001
156,-76.51006711409386,-59.23449780009084,6,11.06,0.627125
157,-20.454545454545375,-58.91201622760926,20,11.13,0.62475
158,-63.19018404908054,-58.9869560427836,11,11.11,0.6223750000000001
159,-70.80291970802944,-59.35919188193031,7,11.01,0.6200000000000001
160,-57.74647887323993,-59.414597847133294,11,11.0,0.6176250000000001
161,-62.32876712328864,-59.53477992830406,10,10.95,0.6152500000000001
162,-80.98859315589321,-59.7213781886301,4,10.89,0.6128750000000001
163,-43.06049822064143,-59.69435605219243,15,10.89,0.6105
164,-76.1092150170648,-59.88591177852202,6,10.83,0.608125
165,-82.26950354609889,-60.11153721691341,4,10.77,0.60575
166,-73.98843930635856,-60.28620421867264,8,10.73,0.603375
167,-43.46289752650222,-60.26346885285238,15,10.75,0.601
168,-48.27586206896626,-60.21315354358096,14,10.78,0.5986250000000001
169,-39.28571428571455,-59.9110954322008,16,10.86,0.5962500000000001
170,-63.85542168674772,-59.88748748690611,11,10.88,0.593875
171,-72.0279720279722,-59.91388965616542,7,10.87,0.5915
172,-68.96551724137976,-60.07117072785979,8,10.83,0.5891250000000001
173,-36.8770764119611,-59.87913068116858,18,10.89,0.5867500000000001
174,-38.6281588447656,-59.64603510698645,16,10.95,0.5843750000000001
175,-63.08724832214841,-59.65426608077398,10,10.94,0.5820000000000001
176,-80.76923076923046,-59.95068019297755,5,10.87,0.5796250000000001
177,-77.27272727272722,-60.2088443589087,5,10.78,0.57725
178,-72.22222222222241,-60.31274597044389,7,10.76,0.574875
179,-76.97368421052644,-60.52921820773817,6,10.7,0.5725
180,-80.06644518272398,-60.655615558588195,5,10.66,0.570125
181,-63.503649635037355,-60.83302493629451,9,10.6,0.56775
182,-48.553054662380134,-60.64113612807959,15,10.67,0.5653750000000001
183,-73.33333333333344,-60.85228516107161,7,10.61,0.5630000000000001
184,-48.48484848484883,-60.79488012479332,16,10.65,0.560625
185,-72.41379310344817,-60.88568472249447,7,10.62,0.5582500000000001
186,-81.30841121495293,-61.03584748632939,5,10.56,0.5558750000000001
187,-80.45602605863158,-61.223888572874394,5,10.49,0.5535000000000001
188,-76.74418604651149,-61.43577487778394,6,10.42,0.5511250000000001
189,-68.65203761755527,-61.53185156795266,9,10.4,0.5487500000000001
190,-43.33333333333378,-61.48806071827945,16,10.41,0.546375
191,-29.687500000000195,-61.088989772333505,17,10.5,0.544
192,-34.06593406593418,-61.017884407110486,17,10.51,0.541625
193,-7.0631970260219905,-60.59018861817337,24,10.61,0.53925
194,-79.93311036789265,-60.818562626142715,5,10.54,0.536875
